,Area,Perimeter,MajorAxisLength,MinorAxisLength,ConvexArea,EquivDiameter,roundness,ShapeFactor1,Class
0,35758,682.303,239.435320549712,190.4997503899915,36049,213.37408380738265,0.9652249122330704,0.0066959930798621845,5
1,35762,690.56,236.8214406664486,192.70757853891885,36157,213.38601781470803,0.9423859997434605,0.006622153142062766,5
2,35764,674.477,222.12292029327193,205.0983638560753,36032,213.39198456809092,0.9879197347730718,0.006210796339706742,5
3,35772,693.3159999999999,245.51020839419022,185.6779933882196,36140,213.41584991341725,0.9351701599556234,0.006863194912059438,5
4,35777,685.8629999999999,221.3199451520588,206.19312170773551,36174,213.43076439911354,0.9557383996979043,0.0061860956802431396,5
5,35781,688.2130000000001,240.17844945418443,189.85095944678707,36108,213.4426952373139,0.9493286638108316,0.006712457713707958,5
6,35789,685.127,233.6187674102795,195.22443658143996,36146,213.46655491323864,0.9581141673608566,0.006527669602679022,5
7,35795,695.242,249.73614144115294,182.70408558846742,36189,213.484447920206,0.9305939618959251,0.006976844292251793,5
8,35795,684.9549999999999,227.56501196074035,200.51361541781827,36124,213.484447920206,0.9587561223601663,0.006357452492268204,5
9,35804,683.756,236.58473368713248,192.93280205264494,36096,213.51128461909866,0.9623634310463529,0.006607773815415386,5
10,35809,681.549,232.7871235420604,196.04782675455326,36094,213.5261924388234,0.9687414606825817,0.006500799339329789,5
11,35822,691.654,235.4053042242631,194.23792333566138,36203,213.56494789993744,0.9409832823418236,0.006571528787456398,5
12,35835,687.914,237.70417950398124,192.17675908498683,36190,213.60369632940473,0.9515880438969933,0.00663329648399557,5
13,35838,689.511,235.5032280998483,193.965675317458,36193,213.61263727649344,0.9472644329999216,0.006571327308997385,5
14,35838,684.103,241.7568645839754,189.1084506827811,36131,213.61263727649344,0.962300340064557,0.0067458246716885824,5
15,35842,679.664,232.110748502132,196.7334530536646,36127,213.6245579571733,0.9750200922693698,0.006475942985941967,5
16,35845,683.8879999999999,229.29529695231355,199.45790625892673,36169,213.63349803116532,0.9630935671117556,0.00639685582235496,5
17,35853,678.6360000000001,230.97217390594238,197.89479511290148,36172,213.657336399642,0.9782764001093184,0.006442199367024862,5
18,35864,681.39,231.33933160197518,197.81374032762437,36158,213.69010981414624,0.9706822287478768,0.006450460952542248,5
19,35872,684.086,232.55203033329644,196.59174620087035,36214,213.71394186795524,0.963261161137032,0.006482828677890735,5
20,35901,686.097,236.85118343593084,193.25486592902817,36225,213.80031079382712,0.9583968310922402,0.0065973422310222785,5
21,35901,684.781,238.02645331631712,192.27400921816755,36216,213.80031079382712,0.9620840308068827,0.0066300786417179776,5
22,35915,685.086,238.63706965649348,191.83743848971258,36222,213.841993652237,0.9616024242209524,0.006644495883516455,5
